text,slot,intent
listen to alumb on,O O B-artist O B-album O B-service I-service,PlayMusic
add to the playlist,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
i give this a rating value of and a best rating of,O O O B-object_select B-object_type O O O O B-rating_value O O O O O B-best_rating,RateBook
play the,O O B-music_item B-track I-track I-track,PlayMusic
please add to playlist,O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
add to playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
i want to listen to music,O O O O O B-year O,PlayMusic
play a by,O O B-sort B-music_item O B-artist I-artist,PlayMusic
find,O B-movie_name I-movie_name,SearchScreeningEvent
book a spot for in,O O O O B-party_size_number O B-state,BookRestaurant
i need a forecast for in,O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
rate a,O B-object_select B-object_part_of_series_type O B-rating_value,RateBook
give me a list of for,O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
can you play me some music by,O O O O O B-year O O B-artist,PlayMusic
please let me know the weather forcast of,O O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation B-timeRange I-timeRange I-timeRange,GetWeather
book a for people,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange,BookRestaurant
i need to book a in for,O O O O O B-restaurant_type O B-city I-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
add to playlist,O O O B-playlist I-playlist B-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist
book a at in,O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state,BookRestaurant
add another to the playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
find a showing,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent
add to list,O B-entity_name I-entity_name O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
show me the,O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
search for,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add this to,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist
find at a,O B-movie_type I-movie_type B-spatial_relation O O B-object_location_type I-object_location_type,SearchScreeningEvent
play,O B-object_name I-object_name B-object_type,SearchCreativeWork
give,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
find me showtimes for,O O O O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
find,O B-object_type I-object_type,SearchScreeningEvent
play the songs on,O O B-sort I-sort B-artist O O B-service,PlayMusic
i want to give this,O O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
add to playlist,O B-entity_name O B-playlist_owner B-playlist O,AddToPlaylist
show for,O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent
i d like to see the,O O O O O O B-object_type B-object_name I-object_name,SearchCreativeWork
i d like to go to the in,O O O O O O O B-sort B-restaurant_type O B-state,BookRestaurant
what s the weather in my,O O O O O O B-current_location I-current_location B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
play playlist,O O B-playlist I-playlist I-playlist I-playlist,PlayMusic
add this to playlist,O O B-music_item O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist
find a called,O O B-object_type I-object_type O B-object_name I-object_name,SearchCreativeWork
find a called,O O B-object_type O B-object_name,SearchCreativeWork
